axis_id,axis_title,suite_id,suite_title,test_case_id,test_case_name,track,scenario,capability,language,rank_dimension,scoring_tier,case_origin,evidence_id,human_review_required,control_claim_status,expected_model_count,expected_models,source_demo
content_accuracy,内容准确与可懂度,content_accuracy_core,内容准确与基础朗读,core_zh_numbers,中文数字、时间与订单号朗读,core,content_accuracy,basic_tts,zh,baseline,core_common,standard_core,baseline,no,objective_proxy,8,mlx_higgs_audio;mlx_ming_omni_tts;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_voxcpm2;mlx_zonos2,
content_accuracy,内容准确与可懂度,content_accuracy_core,内容准确与基础朗读,core_en_numbers,英文数字、时间与价格朗读,core,content_accuracy,basic_tts,en,baseline,core_common,standard_core,baseline,no,objective_proxy,9,mlx_higgs_audio;mlx_ming_omni_tts;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
content_accuracy,内容准确与可懂度,content_accuracy_core,内容准确与基础朗读,core_zh_en_codeswitch,中英混读品牌与订单号朗读,core,content_accuracy,basic_tts,zh_en,baseline,core_common,standard_core,baseline,no,objective_proxy,8,mlx_higgs_audio;mlx_ming_omni_tts;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_ja_reading,日语汇率新闻朗读,core,multilingual_reading,basic_tts,ja,omnivoice;voxcpm2;qwen3,core_common,standard_core,omnivoice;voxcpm2;qwen3,no,objective_proxy,8,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_ko_customer,韩语客服确认话术朗读,core,multilingual_reading,basic_tts,ko,omnivoice;voxcpm2;qwen3,core_common,standard_core,omnivoice;voxcpm2;qwen3,no,objective_proxy,8,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_es_question,西语疑问句语调与停顿,core,multilingual_reading,basic_tts,es,omnivoice;voxcpm2;qwen3,core_common,standard_core,omnivoice;voxcpm2;qwen3,no,objective_proxy,8,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_fr_long_sentence,法语长句呼吸与音色稳定,core,multilingual_reading,basic_tts,fr,omnivoice;voxcpm2;qwen3,core_common,standard_core,omnivoice;voxcpm2;qwen3,no,objective_proxy,8,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_de_instruction,德语清晰友好指令朗读,core,multilingual_reading,basic_tts,de,omnivoice;voxcpm2;qwen3,core_common,standard_core,omnivoice;voxcpm2;qwen3,no,objective_proxy,8,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_qwen3_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_vi_reading,越南语短视频导购朗读,core,multilingual_reading,basic_tts,vi,omnivoice;voxcpm2,core_common,standard_core,omnivoice;voxcpm2,no,objective_proxy,6,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_hi_amount,印地语金额、日期和姓名朗读,core,multilingual_reading,basic_tts,hi,voxcpm2;omnivoice,core_common,standard_core,voxcpm2;omnivoice,no,objective_proxy,6,mlx_higgs_audio;mlx_moss_tts;mlx_scenema_audio;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
multilingual_dialect,多语种与方言,multilingual_reading,多语种基础朗读,core_ar_names,阿拉伯语城市名与数字朗读,core,multilingual_reading,basic_tts,ar,voxcpm2;omnivoice,core_common,standard_core,voxcpm2;omnivoice,no,objective_proxy,6,mlx_higgs_audio;mlx_moss_tts;mlx_omnivoice;mlx_supertonic;mlx_voxcpm2;mlx_zonos2,
